Python_Pit_Risk_Level,Rolling_3Lap_Degradation,LapTime_ZScore,Outlier_Lap_Flag,Clean_Lap_For_Model,Year,RoundNumber,EventName,Driver_Code,LapNumber,Stint,Tire_Compound,LapTime_Seconds,Degradation_Sec,Lap_ID
High Risk,8.653000000,2.919473915,Outlier,Exclude: Statistical Outlier,2025,1,Australian Grand Prix,ALB,8,4,INTERMEDIATE,98.281,8.653000000,2025_1_ALB_8
High Risk,7.6625,1.934441857,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,9,4,INTERMEDIATE,96.3,6.672,2025_1_ALB_9
High Risk,6.730333333,1.036426765,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,10,4,INTERMEDIATE,94.494,4.866,2025_1_ALB_10
High Risk,5.372,0.893221700,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,11,4,INTERMEDIATE,94.206,4.578,2025_1_ALB_11
High Risk,4.509666667,0.648082475,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,12,4,INTERMEDIATE,93.713,4.085000000,2025_1_ALB_12
High Risk,4.062666667,0.369628183,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,13,4,INTERMEDIATE,93.153,3.525000000,2025_1_ALB_13
High Risk,3.566333333,0.152831627,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,14,4,INTERMEDIATE,92.717,3.089,2025_1_ALB_14
High Risk,3.239666667,0.160787464,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,15,4,INTERMEDIATE,92.733,3.105,2025_1_ALB_15
High Risk,3.01,0.027029956,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,16,4,INTERMEDIATE,92.464,2.836,2025_1_ALB_16
High Risk,3.133666667,0.337307596,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,17,4,INTERMEDIATE,93.088,3.460000000,2025_1_ALB_17
High Risk,3.216333333,0.284102936,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,18,4,INTERMEDIATE,92.981,3.353000000,2025_1_ALB_18
High Risk,3.412000000,0.318909723,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,19,4,INTERMEDIATE,93.051,3.423,2025_1_ALB_19
High Risk,3.168000000,-0.026671943,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,20,4,INTERMEDIATE,92.356,2.728000000,2025_1_ALB_20
High Risk,2.853,-0.185788682,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,21,4,INTERMEDIATE,92.036,2.408,2025_1_ALB_21
High Risk,2.520333333,-0.177335605,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,22,4,INTERMEDIATE,92.053,2.425,2025_1_ALB_22
High Risk,2.318333333,-0.327999266,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,23,4,INTERMEDIATE,91.75,2.122,2025_1_ALB_23
High Risk,2.262333333,-0.269324969,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,24,4,INTERMEDIATE,91.868,2.240000000,2025_1_ALB_24
